combination,lr,optimizer,batch_size,dropout,weight_decay,best_accuracy,final_train_acc,final_test_acc
1,0.01,adam,32,0.0,0.0,71.29629629629629,70.77546296296296,71.29629629629629
2,0.01,adam,32,0.0,0.005,56.25,52.87037037037037,55.97222222222222
3,0.01,adam,32,0.5,0.0,70.32407407407408,70.86805555555556,70.32407407407408
4,0.01,adam,32,0.5,0.005,57.68518518518518,51.84027777777778,57.68518518518518
5,0.01,adam,64,0.0,0.0,65.55555555555556,66.66666666666666,64.53703703703704
6,0.01,adam,64,0.0,0.005,8.194444444444445,8.136574074074074,7.777777777777778
7,0.01,adam,64,0.5,0.0,8.00925925925926,7.708333333333334,8.00925925925926
8,0.01,adam,64,0.5,0.005,58.28703703703704,54.50231481481481,58.00925925925926
9,0.001,adam,32,0.0,0.0,72.03703703703704,70.47453703703704,72.03703703703704
10,0.001,adam,32,0.0,0.005,9.444444444444445,8.125,7.5
11,0.001,adam,32,0.5,0.0,73.24074074074073,75.0,73.24074074074073
12,0.001,adam,32,0.5,0.005,9.027777777777777,8.310185185185185,7.5
13,0.001,adam,64,0.0,0.0,71.38888888888889,70.49768518518519,71.38888888888889
14,0.001,adam,64,0.0,0.005,9.444444444444445,8.159722222222223,8.194444444444445
15,0.001,adam,64,0.5,0.0,73.00925925925927,76.30787037037037,72.45370370370371
16,0.001,adam,64,0.5,0.005,7.777777777777778,8.4375,7.5
