combination,lr,optimizer,batch_size,dropout,weight_decay,best_accuracy,final_train_acc,final_test_acc
1,0.01,adam,32,0.0,0.0,8.657407407407407,7.847222222222222,8.00925925925926
2,0.01,adam,32,0.0,0.005,8.564814814814815,8.148148148148149,8.564814814814815
3,0.01,adam,32,0.5,0.0,8.518518518518519,7.731481481481481,8.194444444444445
4,0.01,adam,32,0.5,0.005,8.24074074074074,8.032407407407408,7.5
5,0.01,adam,64,0.0,0.0,9.49074074074074,8.252314814814815,7.962962962962964
6,0.01,adam,64,0.0,0.005,8.657407407407407,8.356481481481481,8.00925925925926
7,0.01,adam,64,0.5,0.0,8.657407407407407,8.57638888888889,7.638888888888889
8,0.01,adam,64,0.5,0.005,55.46296296296296,49.166666666666664,55.46296296296296
9,0.001,adam,32,0.0,0.0,67.54629629629629,63.72685185185185,67.54629629629629
10,0.001,adam,32,0.0,0.005,58.84259259259259,53.03240740740741,58.84259259259259
11,0.001,adam,32,0.5,0.0,59.21296296296297,54.710648148148145,59.21296296296297
12,0.001,adam,32,0.5,0.005,55.55555555555556,51.342592592592595,55.55555555555556
13,0.001,adam,64,0.0,0.0,67.22222222222223,62.800925925925924,67.22222222222223
14,0.001,adam,64,0.0,0.005,55.648148148148145,51.261574074074076,55.648148148148145
15,0.001,adam,64,0.5,0.0,64.30555555555556,59.675925925925924,64.30555555555556
16,0.001,adam,64,0.5,0.005,54.861111111111114,50.97222222222222,54.861111111111114
