combination,lr,optimizer,batch_size,dropout,weight_decay,best_accuracy,final_train_acc,final_test_acc
1,0.01,adam,32,0.0,0.0,8.194444444444445,8.310185185185185,7.916666666666666
2,0.01,adam,32,0.0,0.005,50.324074074074076,46.35416666666667,48.42592592592593
3,0.01,adam,32,0.5,0.0,8.703703703703704,8.69212962962963,7.916666666666666
4,0.01,adam,32,0.5,0.005,8.61111111111111,8.55324074074074,7.314814814814814
5,0.01,adam,64,0.0,0.0,8.796296296296296,7.8009259259259265,7.916666666666666
6,0.01,adam,64,0.0,0.005,10.74074074074074,8.333333333333332,7.314814814814814
7,0.01,adam,64,0.5,0.0,50.69444444444444,46.63194444444444,47.175925925925924
8,0.01,adam,64,0.5,0.005,8.657407407407407,7.962962962962964,7.314814814814814
9,0.001,adam,32,0.0,0.0,66.89814814814815,66.53935185185185,66.89814814814815
10,0.001,adam,32,0.0,0.005,54.25925925925926,50.8912037037037,54.25925925925926
11,0.001,adam,32,0.5,0.0,61.342592592592595,57.55787037037037,61.342592592592595
12,0.001,adam,32,0.5,0.005,52.916666666666664,50.03472222222223,52.916666666666664
13,0.001,adam,64,0.0,0.0,63.47222222222222,60.43981481481482,63.47222222222222
14,0.001,adam,64,0.0,0.005,58.14814814814815,54.67592592592593,58.14814814814815
15,0.001,adam,64,0.5,0.0,60.23148148148149,57.53472222222222,60.23148148148149
16,0.001,adam,64,0.5,0.005,54.81481481481482,50.57870370370371,54.81481481481482
