combination,lr,optimizer,batch_size,dropout,weight_decay,best_accuracy,final_train_acc,final_test_acc
1,0.01,adam,32,0.0,0.0,8.657407407407407,8.043981481481481,8.518518518518519
2,0.01,adam,32,0.0,0.005,51.94444444444445,45.15046296296296,50.324074074074076
3,0.01,adam,32,0.5,0.0,69.30555555555556,69.08564814814815,69.30555555555556
4,0.01,adam,32,0.5,0.005,53.56481481481481,47.37268518518519,52.22222222222223
5,0.01,adam,64,0.0,0.0,69.95370370370371,69.62962962962963,69.95370370370371
6,0.01,adam,64,0.0,0.005,52.87037037037037,49.386574074074076,52.03703703703704
7,0.01,adam,64,0.5,0.0,56.80555555555556,48.576388888888886,56.80555555555556
8,0.01,adam,64,0.5,0.005,53.56481481481481,48.148148148148145,53.56481481481481
9,0.001,adam,32,0.0,0.0,68.10185185185185,64.20138888888889,68.10185185185185
10,0.001,adam,32,0.0,0.005,58.79629629629629,54.085648148148145,58.79629629629629
11,0.001,adam,32,0.5,0.0,71.89814814814814,71.33101851851852,71.89814814814814
12,0.001,adam,32,0.5,0.005,61.48148148148148,60.20833333333333,61.48148148148148
13,0.001,adam,64,0.0,0.0,68.00925925925925,64.61805555555556,68.00925925925925
14,0.001,adam,64,0.0,0.005,60.324074074074076,56.05324074074074,60.324074074074076
15,0.001,adam,64,0.5,0.0,69.86111111111111,66.28472222222223,69.86111111111111
16,0.001,adam,64,0.5,0.005,60.69444444444444,55.69444444444444,60.69444444444444
