combination,lr,optimizer,batch_size,dropout,weight_decay,best_accuracy,final_train_acc,final_test_acc
1,0.01,adam,32,0.0,0.0,53.148148148148145,55.12731481481481,53.148148148148145
2,0.01,adam,32,0.0,0.005,54.30555555555555,52.06018518518518,46.2037037037037
3,0.01,adam,32,0.5,0.0,53.19444444444444,54.386574074074076,50.78703703703704
4,0.01,adam,32,0.5,0.005,51.99074074074074,51.793981481481474,51.99074074074074
5,0.01,adam,64,0.0,0.0,54.67592592592593,56.99074074074074,53.333333333333336
6,0.01,adam,64,0.0,0.005,53.05555555555556,55.54398148148149,52.4537037037037
7,0.01,adam,64,0.5,0.0,54.629629629629626,58.761574074074076,53.7962962962963
8,0.01,adam,64,0.5,0.005,54.861111111111114,56.67824074074074,54.861111111111114
9,0.001,adam,32,0.0,0.0,55.37037037037037,57.245370370370374,55.37037037037037
10,0.001,adam,32,0.0,0.005,54.166666666666664,56.80555555555556,53.05555555555556
11,0.001,adam,32,0.5,0.0,54.76851851851852,57.43055555555555,54.30555555555555
12,0.001,adam,32,0.5,0.005,54.58333333333333,57.199074074074076,54.58333333333333
13,0.001,adam,64,0.0,0.0,54.21296296296296,56.388888888888886,54.21296296296296
14,0.001,adam,64,0.0,0.005,55.46296296296296,57.15277777777777,55.46296296296296
15,0.001,adam,64,0.5,0.0,54.35185185185185,56.82870370370371,54.35185185185185
16,0.001,adam,64,0.5,0.005,54.120370370370374,57.37268518518519,54.120370370370374
