combination,lr,optimizer,batch_size,dropout,weight_decay,best_accuracy,final_train_acc,final_test_acc
1,0.01,adam,32,0.0,0.0,44.10493827160494,41.18055555555556,43.59567901234568
2,0.01,adam,32,0.0,0.005,43.410493827160494,37.9320987654321,41.56635802469136
3,0.01,adam,32,0.5,0.0,45.47067901234568,41.22878086419753,44.68364197530864
4,0.01,adam,32,0.5,0.005,43.14043209876543,37.58680555555556,40.6712962962963
5,0.01,adam,64,0.0,0.0,48.217592592592595,44.6875,45.077160493827165
6,0.01,adam,64,0.0,0.005,45.1003086419753,41.64930555555556,44.33641975308642
7,0.01,adam,64,0.5,0.0,45.50925925925926,44.45601851851852,44.398148148148145
8,0.01,adam,64,0.5,0.005,44.93827160493827,42.05054012345679,41.682098765432094
9,0.001,adam,32,0.0,0.0,49.382716049382715,46.70910493827161,49.382716049382715
10,0.001,adam,32,0.0,0.005,49.00462962962963,45.910493827160494,49.00462962962963
11,0.001,adam,32,0.5,0.0,49.04320987654321,46.878858024691354,49.04320987654321
12,0.001,adam,32,0.5,0.005,47.013888888888886,45.78703703703704,47.013888888888886
13,0.001,adam,64,0.0,0.0,49.760802469135804,49.074074074074076,49.25925925925926
14,0.001,adam,64,0.0,0.005,49.06635802469136,48.105709876543216,49.06635802469136
15,0.001,adam,64,0.5,0.0,49.51388888888889,49.110725308641975,48.61882716049383
16,0.001,adam,64,0.5,0.005,48.99691358024691,48.3275462962963,48.99691358024691
